# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CY43_01205	CY43_01205	AHX76047	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_01210	CY43_01210	AHX76048	protein_coding	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
CY43_01215	CY43_01215	AHX76049	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_01220	CY43_01220	AHX76050	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_01235	CY43_01235	AHX76053	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_01245	CY43_01245	AHX76055	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01250	CY43_01250	CY43_01250-1	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01255	CY43_01255	CY43_01255-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01260	CY43_01260	CY43_01260-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01265	CY43_01265	CY43_01265-1	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01290	CY43_01290	AHX76058	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01295	CY43_01295	AHX76059	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01300	CY43_01300	AHX76060	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01310	CY43_01310	AHX76062	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01315	CY43_01315	AHX76063	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_01320	CY43_01320	AHX76064	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01325	CY43_01325	AHX76065	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01330	CY43_01330	CY43_01330-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01335	CY43_01335	AHX76066	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01340	CY43_01340	AHX76067	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01350	CY43_01350	AHX76068	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01355	CY43_01355	AHX76069	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_01360	CY43_01360	AHX76070	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01365	CY43_01365	AHX76071	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01370	CY43_01370	AHX76072	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01375	CY43_01375	AHX76073	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01550	CY43_01550	AHX76105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01555	CY43_01555	AHX76106	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01570	CY43_01570	AHX76109	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
CY43_01575	CY43_01575	AHX76110	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
CY43_01580	CY43_01580	AHX76111	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
CY43_01585	CY43_01585	AHX76112	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
CY43_01600	CY43_01600	AHX76114	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_01605	CY43_01605	AHX76115	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01615	CY43_01615	AHX76117	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01620	CY43_01620	AHX76118	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01625	CY43_01625	AHX76119	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01630	CY43_01630	AHX76120	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
CY43_01635	CY43_01635	CY43_01635-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01640	CY43_01640	AHX76121	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01650	CY43_01650	AHX76122	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01655	CY43_01655	AHX76123	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01660	CY43_01660	AHX76124	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01670	CY43_01670	AHX76125	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01675	CY43_01675	AHX76126	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01680	CY43_01680	AHX76127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01685	CY43_01685	AHX76128	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01690	CY43_01690	AHX76129	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01695	CY43_01695	AHX76130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01705	CY43_01705	AHX76131	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_01710	CY43_01710	AHX76132	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01715	CY43_01715	AHX76133	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01720	CY43_01720	AHX76134	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01725	CY43_01725	AHX76135	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01730	CY43_01730	AHX76136	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01735	CY43_01735	AHX76137	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01740	CY43_01740	AHX76138	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01745	CY43_01745	AHX76139	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01750	CY43_01750	AHX76140	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01760	CY43_01760	AHX76141	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01765	CY43_01765	AHX76142	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_01770	CY43_01770	AHX76143	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01780	CY43_01780	AHX76144	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01785	CY43_01785	AHX76145	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01790	CY43_01790	AHX76146	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01795	CY43_01795	AHX76147	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01800	CY43_01800	AHX76148	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01805	CY43_01805	AHX76149	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01810	CY43_01810	AHX76150	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01815	CY43_01815	AHX76151	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01820	CY43_01820	AHX76152	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01825	CY43_01825	AHX76153	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_01830	CY43_01830	AHX76154	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01835	CY43_01835	AHX76155	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01840	CY43_01840	AHX76156	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01845	CY43_01845	AHX76157	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01850	CY43_01850	AHX76158	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CY43_01855	CY43_01855	AHX76159	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01860	CY43_01860	AHX76160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01865	CY43_01865	AHX76161	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01870	CY43_01870	AHX76162	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01890	CY43_01890	AHX76166	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01895	CY43_01895	AHX76167	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01900	CY43_01900	AHX76168	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01905	CY43_01905	AHX76169	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01910	CY43_01910	AHX76170	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01915	CY43_01915	AHX76171	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_01920	CY43_01920	AHX76172	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01925	CY43_01925	AHX76173	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_01930	CY43_01930	AHX76174	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01980	CY43_01980	AHX76184	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_01985	CY43_01985	AHX76185	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02000	CY43_02000	AHX76186	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02005	CY43_02005	AHX76187	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_02010	CY43_02010	AHX76188	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
CY43_02015	CY43_02015	AHX76189	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02020	CY43_02020	AHX76190	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
CY43_02025	CY43_02025	AHX76191	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_02030	CY43_02030	AHX76192	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02035	CY43_02035	AHX76193	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02040	CY43_02040	AHX76194	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02045	CY43_02045	AHX76195	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02055	CY43_02055	AHX76197	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02060	CY43_02060	AHX76198	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02065	CY43_02065	AHX76199	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02070	CY43_02070	AHX76200	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02075	CY43_02075	AHX76201	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02080	CY43_02080	AHX76202	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_02085	CY43_02085	AHX76203	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02090	CY43_02090	AHX76204	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02165	CY43_02165	AHX76216	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02180	CY43_02180	AHX76219	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_02185	CY43_02185	AHX76220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02190	CY43_02190	AHX76221	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02195	CY43_02195	AHX76222	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02200	CY43_02200	AHX76223	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02205	CY43_02205	AHX76224	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02210	CY43_02210	AHX76225	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02220	CY43_02220	AHX76226	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02225	CY43_02225	AHX76227	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_02230	CY43_02230	AHX76228	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02235	CY43_02235	AHX76229	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02240	CY43_02240	AHX76230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02245	CY43_02245	AHX76231	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02600	CY43_02600	AHX76299	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02605	CY43_02605	AHX76300	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02610	CY43_02610	AHX76301	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02615	CY43_02615	AHX76302	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02620	CY43_02620	AHX76303	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02625	CY43_02625	AHX76304	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_02630	CY43_02630	AHX76305	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02635	CY43_02635	AHX76306	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02640	CY43_02640	AHX76307	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02645	CY43_02645	AHX76308	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02710	CY43_02710	AHX76321	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02715	CY43_02715	AHX76322	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02725	CY43_02725	AHX80256	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
CY43_02730	CY43_02730	AHX80257	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02740	CY43_02740	AHX76323	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02745	CY43_02745	AHX76324	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
